INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.353, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 53.091, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 5.368, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.167, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 27.140, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 5.368, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.167, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 5.368, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.167, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 27.140, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 55.672, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 35.935, Avg Accuracy: 1.000, Best Reward: 0.000
